Run, Fill, LumiDel, LumiRec, TimeDel, TimeRec,Delivered (pb),Recorded (pb),Tag,Year,NEvents,NTracks,Eff_BCID0
15883,9905,901.196,882.336,50269.0,49207.513,901.196,882.336,p0011,2024,9851222,9784561.0,-1
15884,9906,543.721,531.228,27699.0,26637.38,543.721,531.228,p0011,2024,5903453,5861086.0,-1
15902,9910,877.787,859.608,49211.0,47905.662,877.787,859.608,p0011,2024,9568563,9506102.0,-1
15903,9911,899.963,881.657,51056.0,50008.205,899.963,881.657,p0011,2024,9748584,9683976.0,-1
15904,9912,126.087,123.327,6736.0,6550.944,126.087,123.327,p0011,2024,1341444,1329289.0,-1
15909,9917,749.949,733.602,40246.0,38969.637,749.949,733.602,p0011,2024,8202557,8148569.0,-1
15912,9920,899.611,881.321,51672.0,50619.738,899.611,881.321,p0011,2024,9793119,9727972.0,-1
15913,9921,932.571,914.023,54829.0,53743.199,932.571,914.023,p0011,2024,10139071,10075477.0,-1
15915,9923,955.002,935.336,53873.0,52800.541,955.002,935.336,p0011,2024,10411742,10346525.0,-1
15917,9925,78.396,76.66,4584.0,4200.227,78.396,76.66,p0011,2024,848904,840673.0,-1
15918,9926,883.425,864.831,48289.0,47257.66,883.425,864.831,p0011,2024,8579063,8529971.0,-1
15919,9927,265.73,259.693,13740.0,13392.197,265.73,259.693,p0011,2024,2861705,2838922.0,-1
15945,9931,913.058,894.538,51332.0,50268.036,913.058,894.538,p0011,2024,9948990,9889149.0,-1
15946,9932,343.938,336.084,17398.0,16817.026,343.938,336.084,p0011,2024,3682951,3656790.0,-1
15948,9934,129.781,126.845,6879.0,6689.156,129.781,126.845,p0011,2024,1403493,1392298.0,-1
15949,9935,299.158,292.269,15203.0,14629.191,299.158,292.269,p0011,2024,3200950,3178341.0,-1
15950,9936,219.98,214.956,11212.0,10899.663,219.98,214.956,p0011,2024,2355419,2338056.0,-1
15951,9937,799.932,782.756,42589.0,41576.282,799.932,782.756,p0011,2024,8689148,8637603.0,-1
15953,9939,846.563,828.308,45338.0,44078.616,846.563,828.308,p0011,2024,9247300,9194866.0,-1
15955,9941,624.32,609.994,31268.0,30492.777,624.32,609.994,p0011,2024,6504787,6464835.0,-1
15956,9942,684.471,669.041,34711.0,33911.393,684.471,669.041,p0011,2024,7427082,7383489.0,-1
15957,9943,797.35,779.925,41905.0,41005.238,797.35,779.925,p0011,2024,8676116,8626059.0,-1
15961,9945,801.001,783.21,41267.0,40326.262,801.001,783.21,p0011,2024,8742211,8690999.0,-1
15963,9947,557.099,544.109,27816.0,26928.397,557.099,544.109,p0011,2024,6102786,6064707.0,-1
15967,9951,879.385,860.426,46866.0,45835.557,879.385,860.426,p0011,2024,9584889,9531953.0,-1
15975,9960,8.253,8.111,858.0,727.88,8.253,8.111,p0011,2024,93298,91816.0,-1
15977,9962,306.764,299.527,15264.0,14756.013,306.764,299.527,p0011,2024,3301590,3278445.0,-1
15993,9966,0.313,0.312,7683.0,7424.477,0.313,0.312,p0011,2024,4125,3683.0,-1
15994,9967,818.979,800.561,42205.0,41011.497,818.979,800.561,p0011,2024,8920768,8870768.0,-1
15996,9969,942.762,922.69,51604.0,50501.756,942.762,922.69,p0011,2024,10253324,10196446.0,-1
15997,9970,174.138,170.122,9197.0,8682.849,174.138,170.122,p0011,2024,1879179,1865156.0,-1
15998,9971,655.924,640.44,32182.0,31397.172,655.924,640.44,p0011,2024,7128294,7086725.0,-1
16000,9973,923.222,903.489,50167.0,49087.283,923.222,903.489,p0011,2024,10035494,9979386.0,-1
16001,9974,962.941,942.587,53332.0,52144.232,962.941,942.587,p0011,2024,10538082,10482277.0,-1
16018,9978,803.72,785.431,40900.0,39920.451,803.72,785.431,p0011,2024,8777966,8730049.0,-1
16022,9982,889.812,870.576,48262.0,47211.28,889.812,870.576,p0011,2024,9752310,9697362.0,-1
16023,9983,881.498,862.101,46809.0,45762.773,881.498,862.101,p0012,2024,9685492,9633625.0,-1
16024,9984,377.741,368.692,18618.0,17869.989,377.741,368.692,p0012,2024,4068358,4043860.0,-1
16028,9986,940.903,920.682,51216.0,50110.359,940.903,920.682,p0012,2024,10274698,10223015.0,-1
16042,9987,919.52,899.595,49258.0,48180.085,919.52,899.595,p0012,2024,10008442,9957107.0,-1
16043,9988,780.728,762.143,37889.0,36952.597,780.728,762.143,p0012,2024,8422057,8373822.0,-1
16057,9989,838.528,819.902,43761.0,42765.891,838.528,819.902,p0012,2024,9153093,9106436.0,-1
16060,9992,13.292,13.052,918.0,872.349,13.292,13.052,p0012,2024,8255,8170.0,-1
16064,9994,550.125,537.011,26786.0,26134.537,550.125,537.011,p0012,2024,5959367,5924597.0,-1
16065,9995,539.918,527.084,26489.0,25648.235,539.918,527.084,p0012,2024,5842414,5807634.0,-1
16068,9996,907.859,887.9,48035.0,47004.54,907.859,887.9,p0012,2024,10247853,10195289.0,-1
16071,10000,284.246,277.601,14275.0,13856.56,284.246,277.601,p0012,2024,3059023,3040343.0,-1
16072,10001,864.754,845.798,45782.0,44761.655,864.754,845.798,p0012,2024,9418905,9370235.0,-1
16073,10002,125.559,122.72,7261.0,6420.402,125.559,122.72,p0012,2024,1347986,1338537.0,-1
16075,10004,110.249,107.74,6239.0,5717.14,110.249,107.74,p0012,2024,1189969,1181494.0,-1
16076,10005,851.582,832.935,44800.0,43798.638,851.582,832.935,p0012,2024,9233588,9186621.0,-1
16077,10006,862.47,843.427,45262.0,44049.546,862.47,843.427,p0012,2024,9363085,9315083.0,-1
16096,10010,791.342,773.235,40135.0,39098.746,791.342,773.235,p0012,2024,8598033,8550935.0,-1
16098,10012,247.316,241.521,12582.0,12014.907,247.316,241.521,p0012,2024,480067,477307.0,-1
16099,10013,143.672,140.442,7894.0,7431.435,143.672,140.442,p0012,2024,1547563,1537350.0,-1
16100,10014,155.722,152.603,9960.0,9370.855,155.722,152.603,p0012,2024,1684659,1672104.0,-1
16102,10016,596.003,581.922,29291.0,28300.347,596.003,581.922,p0012,2024,6416375,6387587.0,-1
16103,10017,781.479,763.691,39459.0,38530.408,781.479,763.691,p0012,2024,8463362,8419930.0,-1
16393,10049,867.156,848.647,47277.0,46252.886,867.156,848.647,p0012,2024,9542275,9486345.0,-1
16394,10050,553.68,540.524,27119.0,26231.313,553.68,540.524,p0012,2024,5981251,5945986.0,-1
16396,10052,942.265,921.501,49337.0,48261.841,942.265,921.501,p0012,2024,10245742,10193302.0,-1
16400,10056,935.713,915.093,49056.0,47998.483,935.713,915.093,p0012,2024,10213624,10161076.0,-1
16403,10059,123.935,121.067,6452.0,6272.634,123.935,121.067,p0012,2024,1282627,1273206.0,-1
16405,10061,374.879,366.017,18420.0,17948.243,374.879,366.017,p0012,2024,3610061,3589269.0,-1
16517,10066,362.031,353.859,22642.0,21822.905,362.031,353.859,p0012,2024,3958580,3928544.0,-1
16522,10068,6.501,6.385,682.0,481.274,6.501,6.385,p0012,2024,72577,71866.0,-1
16523,10069,898.148,878.555,47789.0,46731.962,898.148,878.555,p0012,2024,9861433,9810351.0,-1
16531,10070,139.364,136.125,7283.0,6975.215,139.364,136.125,p0012,2024,1516538,1506242.0,-1
16533,10072,861.572,842.714,45501.0,44503.379,861.572,842.714,p0012,2024,8765697,8719971.0,-1
16542,10073,896.465,876.891,47462.0,46453.692,896.465,876.891,p0012,2024,9458352,9408216.0,-1
16558,10074,912.291,892.12,48197.0,47085.668,912.291,892.12,p0012,2024,10004696,9954118.0,-1
16564,10075,236.03,230.577,12078.0,11687.238,236.03,230.577,p0012,2024,2545181,2529648.0,-1
16581,10077,667.071,651.298,32865.0,31965.239,667.071,651.298,p0012,2024,7293181,7255189.0,-1
16628,10082,257.016,250.95,12876.0,12450.73,257.016,250.95,p0012,2024,2500844,2486005.0,-1
16635,10084,1232.217,1208.592,79703.0,78296.577,1232.217,1208.592,p0012,2024,13601766,13533401.0,-1
16648,10086,8.266,8.119,582.964,573.193,8.266,8.119,p0012,2024,91334,90241.0,-1
16649,10086,246.201,240.381,12199.745,11808.475,246.201,240.381,p0012,2024,2663458,2646764.0,-1
16650,10087,821.574,803.475,43070.0,42130.701,821.574,803.475,p0012,2024,8978772,8934151.0,-1
16653,10090,806.666,788.367,41188.0,40245.569,806.666,788.367,p0012,2024,8497710,8454262.0,-1
16657,10091,417.841,408.017,20653.0,19944.15,417.841,408.017,p0012,2024,4517105,4491805.0,-1
16658,10092,963.848,943.084,51663.0,50534.596,963.848,943.084,p0012,2024,10497743,10442440.0,-1
16659,10093,190.956,186.537,9866.0,9379.322,190.956,186.537,p0012,2024,1994016,1981293.0,-1
16660,10094,239.213,233.623,12213.0,11642.898,239.213,233.623,p0012,2024,2572238,2556871.0,-1
16661,10095,951.342,930.728,50638.0,49529.55,951.342,930.728,p0012,2024,10357059,10303310.0,-1
16662,10096,373.95,365.095,18847.0,17820.541,373.95,365.095,p0012,2024,4033178,4009886.0,-1
16663,10097,876.53,857.136,45430.0,44379.405,876.53,857.136,p0012,2024,9553621,9505417.0,-1
16664,10098,339.13,331.232,17064.0,16431.503,339.13,331.232,p0012,2024,3657990,3636924.0,-1
16665,10099,404.139,394.702,19852.0,19328.879,404.139,394.702,p0012,2024,4366820,4342377.0,-1
16667,10100,853.235,834.07,43386.0,42380.97,853.235,834.07,p0012,2024,9336713,9291198.0,-1
